x,z,y
128.78,122.39,10.00
129.14,122.75,10.00
129.25,123.20,10.00
129.01,123.60,10.00
128.65,123.96,10.00
128.30,124.31,10.00
128.25,124.79,10.00
127.95,125.16,10.00
127.59,125.52,10.00
127.26,125.87,10.00
127.61,126.22,10.00
127.75,126.67,10.00
127.53,127.08,10.00
127.32,127.43,10.00
127.67,127.78,10.00
127.47,128.14,10.00
127.25,128.55,10.00
127.38,128.99,10.00
127.73,129.34,10.00
127.41,129.70,10.00
127.44,130.05,10.00
127.80,130.41,10.00
128.15,130.76,10.00
128.00,131.11,10.00
127.75,131.51,10.00
127.64,131.97,10.00
127.29,132.32,10.00
126.94,132.67,10.00
126.58,133.03,10.00
126.23,133.38,10.00
125.88,133.73,10.00
125.75,134.18,10.00
125.98,134.59,10.00
126.33,134.94,10.00
126.68,135.29,10.00
127.04,135.65,10.00
127.25,136.06,10.00
127.11,136.50,10.00
126.76,136.85,10.00
126.40,137.21,10.00
126.45,137.56,10.00
126.69,137.92,10.00
126.34,138.27,10.00
126.25,138.73,10.00
126.25,139.23,10.00
126.51,139.62,10.00
126.75,140.02,10.00
126.75,140.52,10.00
126.75,141.02,10.00
126.63,141.48,10.00
126.28,141.83,10.00
126.25,142.32,10.00
126.25,142.82,10.00
125.93,143.18,10.00
125.75,143.61,10.00
125.57,144.04,10.00
125.22,144.39,10.00
124.87,144.74,10.00
124.51,145.10,10.00
124.25,145.49,10.00
124.25,145.99,10.00
124.25,146.49,10.00
124.16,146.95,10.00
123.81,147.30,10.00
123.45,147.66,10.00
123.10,148.01,10.00
122.75,148.37,10.00
122.75,148.87,10.00
122.74,149.37,10.00
122.39,149.72,10.00
122.25,150.16,10.00
122.25,150.66,10.00
122.46,151.07,10.00
122.82,151.43,10.00
123.17,151.78,10.00
123.25,152.25,10.00
122.98,152.63,10.00
122.62,152.99,10.00
122.27,153.34,10.00
121.92,153.69,10.00
121.75,154.12,10.00
121.94,154.55,10.00
122.29,154.90,10.00
122.64,155.25,10.00
123.00,155.61,10.00
123.15,155.96,10.00
122.79,156.32,10.00
122.44,156.67,10.00
122.09,157.02,10.00
121.75,157.38,10.00
121.75,157.88,10.00
121.77,158.38,10.00
122.12,158.73,10.00
122.03,159.08,10.00
121.75,159.47,10.00
121.75,159.97,10.00
121.75,160.47,10.00
121.83,160.94,10.00
122.18,161.29,10.00
122.53,161.64,10.00
122.89,162.00,10.00
123.24,162.35,10.00
123.25,162.85,10.00
123.25,163.35,10.00
123.25,163.85,10.00
123.59,164.20,10.00
123.95,164.56,10.00
124.30,164.91,10.00
124.65,165.26,10.00
124.75,165.73,10.00
125.01,166.12,10.00
125.25,166.52,10.00
125.14,166.97,10.00
124.78,167.33,10.00
124.75,167.81,10.00
124.75,168.31,10.00
124.75,168.81,10.00
124.43,169.18,10.00
124.25,169.60,10.00
124.42,170.03,10.00
124.78,170.39,10.00
125.13,170.74,10.00
125.48,171.09,10.00
125.84,171.45,10.00
126.19,171.80,10.00
126.54,172.15,10.00
126.75,172.57,10.00
126.90,173.01,10.00
127.25,173.36,10.00
127.60,173.71,10.00
127.75,174.15,10.00
127.75,174.65,10.00
127.75,175.15,10.00
127.96,175.57,10.00
128.31,175.92,10.00
128.67,176.28,10.00
129.02,176.63,10.00
129.37,176.98,10.00
129.73,177.34,10.00
130.08,177.69,10.00
130.43,178.04,10.00
130.79,178.40,10.00
131.14,178.75,10.00
131.49,179.10,10.00
131.85,179.46,10.00
132.20,179.81,10.00
132.55,180.16,10.00
132.91,180.52,10.00
133.26,180.87,10.00
133.62,181.23,10.00
133.97,181.58,10.00
134.32,181.93,10.00
134.68,182.29,10.00
135.03,182.64,10.00
135.38,182.99,10.00
135.74,183.35,10.00
136.09,183.70,10.00
136.44,184.05,10.00
136.80,184.41,10.00
137.15,184.76,10.00
137.50,185.11,10.00
137.86,185.47,10.00
138.21,185.82,10.00
138.56,186.17,10.00
138.92,186.53,10.00
139.27,186.88,10.00
139.63,187.24,10.00
139.98,187.59,10.00
140.33,187.94,10.00
140.69,188.30,10.00
141.04,188.65,10.00
141.39,189.00,10.00
141.75,189.36,10.00
142.10,189.71,10.00
142.45,190.06,10.00
142.81,190.42,10.00
143.16,190.77,10.00
143.51,191.12,10.00
143.87,191.48,10.00
144.22,191.83,10.00
144.58,192.19,10.00
144.93,192.54,10.00
145.28,192.89,10.00
145.64,193.25,10.00
145.99,193.60,10.00
146.34,193.95,10.00
146.70,194.31,10.00
147.05,194.66,10.00
147.40,195.01,10.00
147.76,195.37,10.00
148.11,195.72,10.00
148.46,196.07,10.00
148.82,196.43,10.00
149.17,196.78,10.00
149.52,197.13,10.00
149.88,197.49,10.00
150.23,197.84,10.00
150.59,198.20,10.00
150.94,198.55,10.00
151.29,198.90,10.00
151.65,199.26,10.00
151.75,199.71,10.00
151.75,200.21,10.00
151.75,200.71,10.00
151.75,201.21,10.00
151.75,201.71,10.00
152.00,202.11,10.00
152.35,202.46,10.00
152.71,202.82,10.00
153.06,203.17,10.00
153.41,203.52,10.00
153.77,203.88,10.00
154.12,204.23,10.00
154.25,204.68,10.00
154.25,205.18,10.00
154.25,205.68,10.00
154.25,206.18,10.00
154.25,206.68,10.00
154.25,207.18,10.00
154.47,207.58,10.00
154.83,207.94,10.00
155.18,208.29,10.00
155.54,208.65,10.00
155.75,209.06,10.00
155.75,209.56,10.00
155.75,210.06,10.00
155.75,210.56,10.00
155.89,211.00,10.00
156.24,211.35,10.00
156.60,211.71,10.00
156.95,212.06,10.00
157.20,212.41,10.00
156.84,212.77,10.00
156.75,213.23,10.00
157.01,213.62,10.00
157.36,213.97,10.00
157.72,214.33,10.00
158.07,214.68,10.00
158.42,215.03,10.00
158.78,215.39,10.00
159.13,215.74,10.00
159.49,216.10,10.00
159.84,216.45,10.00
160.19,216.80,10.00
160.55,217.16,10.00
160.90,217.51,10.00
161.25,217.86,10.00
161.25,218.36,10.00
161.25,218.86,10.00
161.25,219.36,10.00
161.61,219.72,10.00
161.96,220.07,10.00
162.31,220.42,10.00
162.67,220.78,10.00
163.02,221.13,10.00
163.37,221.48,10.00
163.73,221.84,10.00
164.08,222.19,10.00
164.43,222.54,10.00
164.79,222.90,10.00
165.14,223.25,10.00
165.50,223.61,10.00
165.85,223.96,10.00
166.20,224.31,10.00
166.25,224.79,10.00
166.25,225.29,10.00
166.56,225.67,10.00
166.91,226.02,10.00
167.26,226.37,10.00
167.62,226.73,10.00
167.97,227.08,10.00
168.32,227.43,10.00
168.68,227.79,10.00
169.03,228.14,10.00
169.38,228.23,10.00
169.74,227.87,10.00
170.23,227.86,10.00
170.73,227.86,10.00
171.09,228.20,10.00
171.45,228.56,10.00
171.80,228.91,10.00
172.15,229.26,10.00
172.51,229.62,10.00
172.86,229.97,10.00
173.21,230.32,10.00
173.57,230.68,10.00
173.92,231.03,10.00
174.27,231.38,10.00
174.63,231.74,10.00
174.98,232.09,10.00
175.33,232.44,10.00
175.69,232.80,10.00
176.04,233.15,10.00
176.39,233.50,10.00
176.75,233.86,10.00
177.10,234.21,10.00
177.46,234.57,10.00
177.81,234.92,10.00
178.16,235.27,10.00
178.52,235.63,10.00
178.87,235.98,10.00
179.22,236.33,10.00
179.58,236.69,10.00
179.93,237.04,10.00
180.28,237.39,10.00
180.64,237.75,10.00
180.99,238.10,10.00
181.34,238.45,10.00
181.70,238.81,10.00
182.05,239.16,10.00
182.41,239.52,10.00
182.76,239.87,10.00
183.11,240.22,10.00
183.47,240.58,10.00
183.82,240.93,10.00
184.17,241.28,10.00
184.53,241.64,10.00
184.88,241.99,10.00
185.23,242.34,10.00
185.59,242.70,10.00
185.94,243.05,10.00
186.29,243.40,10.00
186.65,243.76,10.00
187.00,244.11,10.00
187.36,244.47,10.00
187.71,244.82,10.00
188.06,245.17,10.00
188.42,245.53,10.00
188.77,245.88,10.00
189.12,246.23,10.00
189.48,246.59,10.00
189.83,246.94,10.00
190.18,247.29,10.00
190.54,247.65,10.00
190.89,248.00,10.00
191.24,248.35,10.00
191.60,248.71,10.00
191.95,249.06,10.00
192.30,249.41,10.00
192.66,249.77,10.00
193.01,250.12,10.00
193.37,250.48,10.00
193.72,250.83,10.00
194.07,251.18,10.00
194.43,251.54,10.00
194.78,251.89,10.00
195.13,252.24,10.00
195.49,252.60,10.00
195.84,252.95,10.00
196.19,253.30,10.00
196.55,253.66,10.00
196.90,254.01,10.00
197.25,254.36,10.00
197.61,254.72,10.00
197.96,255.07,10.00
198.32,255.43,10.00
198.67,255.78,10.00
199.02,256.13,10.00
199.38,256.49,10.00
199.73,256.84,10.00
200.08,257.19,10.00
200.44,257.55,10.00
200.79,257.90,10.00
201.14,258.25,10.00
201.50,258.61,10.00
201.85,258.96,10.00
202.20,259.31,10.00
202.56,259.67,10.00
202.91,260.02,10.00
203.27,260.38,10.00
203.62,260.73,10.00
203.97,261.08,10.00
204.33,261.44,10.00
204.68,261.79,10.00
205.03,262.14,10.00
205.39,262.50,10.00
205.74,262.85,10.00
206.09,263.20,10.00
206.45,263.56,10.00
206.80,263.91,10.00
207.15,264.26,10.00
207.51,264.62,10.00
207.86,264.97,10.00
208.21,265.32,10.00
208.57,265.68,10.00
208.92,266.03,10.00
209.28,266.39,10.00
209.63,266.74,10.00
209.98,267.09,10.00
210.34,267.45,10.00
210.69,267.80,10.00
211.04,268.15,10.00
211.40,268.51,10.00
211.75,268.86,10.00
212.10,269.21,10.00
212.46,269.57,10.00
212.81,269.92,10.00
213.16,270.27,10.00
213.52,270.63,10.00
213.87,270.98,10.00
214.23,271.34,10.00
214.58,271.69,10.00
214.93,272.04,10.00
215.29,272.40,10.00
215.64,272.75,10.00
215.99,273.10,10.00
216.35,273.46,10.00
216.70,273.81,10.00
217.05,274.16,10.00
217.41,274.52,10.00
217.76,274.87,10.00
218.11,275.22,10.00
218.47,275.58,10.00
218.82,275.93,10.00
219.17,276.28,10.00
219.53,276.64,10.00
219.88,276.99,10.00
220.24,277.35,10.00
220.59,277.70,10.00
220.94,278.05,10.00
221.30,278.41,10.00
221.65,278.76,10.00
222.00,279.11,10.00
222.36,279.47,10.00
222.71,279.82,10.00
223.19,279.86,10.00
223.69,279.86,10.00
224.19,279.86,10.00
224.69,279.86,10.00
225.19,279.86,10.00
225.69,279.86,10.00
226.19,279.86,10.00
226.69,279.86,10.00
227.19,279.86,10.00
227.69,279.86,10.00
228.19,279.86,10.00
228.69,279.86,10.00
229.19,279.86,10.00
229.69,279.86,10.00
230.19,279.86,10.00
230.69,279.86,10.00
231.19,279.86,10.00
231.69,279.86,10.00
232.19,279.86,10.00
232.69,279.86,10.00
233.19,279.86,10.00
233.69,279.86,10.00
234.19,279.86,10.00
234.69,279.86,10.00
235.19,279.86,10.00
235.69,279.86,10.00
236.19,279.86,10.00
236.69,279.86,10.00
237.19,279.86,10.00
237.69,279.86,10.00
238.19,279.86,10.00
238.69,279.86,10.00
239.19,279.86,10.00
239.69,279.86,10.00
240.19,279.86,10.00
240.69,279.86,10.00
241.19,279.86,10.00
241.69,279.86,10.00
242.19,279.86,10.00
242.69,279.86,10.00
243.19,279.86,10.00
243.69,279.86,10.00
244.19,279.86,10.00
244.69,279.86,10.00
245.19,279.86,10.00
245.69,279.86,10.00
246.19,279.86,10.00
246.69,279.86,10.00
247.19,279.86,10.00
247.69,279.86,10.00
248.19,279.86,10.00
248.69,279.86,10.00
249.19,279.86,10.00
249.69,279.86,10.00
250.19,279.86,10.00
250.69,279.86,10.00
251.19,279.86,10.00
251.69,279.86,10.00
252.19,279.86,10.00
252.69,279.86,10.00
253.19,279.86,10.00
253.69,279.86,10.00
254.19,279.86,10.00
254.69,279.86,10.00
255.19,279.86,10.00
255.69,279.86,10.00
256.19,279.86,10.00
256.69,279.86,10.00
257.19,279.86,10.00
257.69,279.86,10.00
258.19,279.86,10.00
258.69,279.86,10.00
259.19,279.86,10.00
259.69,279.86,10.00
260.19,279.86,10.00
260.69,279.86,10.00
261.19,279.86,10.00
261.69,279.86,10.00
262.19,279.86,10.00
262.69,279.86,10.00
263.19,279.86,10.00
263.69,279.86,10.00
264.19,279.86,10.00
264.69,279.86,10.00
265.19,279.86,10.00
265.69,279.86,10.00
266.19,279.86,10.00
266.69,279.86,10.00
267.19,279.86,10.00
267.69,279.86,10.00
268.19,279.86,10.00
268.69,279.86,10.00
269.19,279.86,10.00
269.69,279.86,10.00
270.19,279.86,10.00
270.69,279.86,10.00
271.19,279.86,10.00
271.69,279.86,10.00
272.19,279.86,10.00
272.69,279.86,10.00
273.19,279.86,10.00
273.69,279.86,10.00
274.19,279.86,10.00
274.69,279.86,10.00
275.19,279.86,10.00
275.69,279.86,10.00
276.19,279.86,10.00
276.69,279.86,10.00
277.19,279.86,10.00
277.69,279.86,10.00
278.19,279.86,10.00
278.69,279.86,10.00
279.19,279.86,10.00
279.69,279.86,10.00
279.75,279.86,10.00
