x,z,y
27.04,76.46,8.00
27.04,76.96,8.00
27.04,77.46,8.00
27.04,77.96,8.00
27.04,78.46,8.00
27.04,78.96,8.00
27.04,79.46,8.00
27.04,79.96,8.00
27.04,80.46,8.00
27.04,80.96,8.00
27.04,81.46,8.00
27.04,81.96,8.00
27.04,82.46,8.00
27.04,82.96,8.00
27.04,83.46,8.00
27.04,83.96,8.00
27.04,84.46,8.00
27.04,84.96,8.00
27.04,85.46,8.00
27.04,85.96,8.00
27.04,86.46,8.00
27.04,86.96,8.00
27.04,87.46,8.00
27.04,87.96,8.00
27.04,88.46,8.00
27.04,88.96,8.00
27.04,89.46,8.00
27.04,89.96,8.00
27.04,90.46,8.00
27.04,90.96,8.00
27.23,91.39,8.00
27.58,91.74,8.00
27.93,92.10,8.00
28.29,92.45,8.00
28.64,92.80,8.00
28.99,93.16,8.00
29.47,93.20,8.00
29.97,93.20,8.00
30.47,93.20,8.00
30.97,93.20,8.00
31.47,93.20,8.00
31.97,93.20,8.00
32.47,93.20,8.00
32.97,93.20,8.00
33.35,92.90,8.00
33.70,92.55,8.00
34.05,92.19,8.00
34.41,91.84,8.00
34.76,91.49,8.00
35.11,91.13,8.00
35.47,90.78,8.00
35.82,90.42,8.00
36.18,90.07,8.00
36.53,89.72,8.00
36.88,89.36,8.00
37.24,89.01,8.00
37.59,88.66,8.00
37.94,88.30,8.00
38.30,87.95,8.00
38.65,87.60,8.00
39.00,87.24,8.00
39.36,86.89,8.00
39.71,86.54,8.00
40.06,86.18,8.00
40.42,85.83,8.00
40.77,85.47,8.00
41.12,85.12,8.00
41.48,84.77,8.00
41.83,84.41,8.00
42.19,84.06,8.00
42.54,83.71,8.00
42.89,83.35,8.00
43.25,83.00,8.00
43.60,82.65,8.00
43.95,82.29,8.00
44.31,81.94,8.00
44.66,81.59,8.00
45.01,81.23,8.00
45.37,80.88,8.00
45.72,80.53,8.00
46.07,80.17,8.00
46.43,79.82,8.00
46.78,79.46,8.00
47.17,79.20,8.00
47.67,79.20,8.00
48.17,79.20,8.00
48.67,79.20,8.00
49.17,79.20,8.00
49.67,79.20,8.00
50.17,79.20,8.00
50.67,79.20,8.00
51.17,79.20,8.00
51.67,79.20,8.00
52.17,79.20,8.00
52.67,79.20,8.00
53.17,79.20,8.00
53.67,79.20,8.00
54.17,79.20,8.00
54.67,79.20,8.00
55.17,79.20,8.00
55.67,79.20,8.00
56.17,79.20,8.00
56.67,79.20,8.00
57.17,79.20,8.00
57.67,79.20,8.00
58.17,79.20,8.00
58.67,79.20,8.00
59.17,79.20,8.00
59.67,79.20,8.00
60.17,79.20,8.00
60.67,79.20,8.00
61.17,79.20,8.00
61.67,79.20,8.00
62.17,79.20,8.00
62.67,79.20,8.00
63.17,79.20,8.00
63.67,79.20,8.00
64.17,79.20,8.00
64.67,79.20,8.00
65.17,79.20,8.00
65.67,79.20,8.00
66.17,79.20,8.00
66.67,79.20,8.00
67.17,79.20,8.00
67.67,79.20,8.00
68.17,79.20,8.00
68.67,79.20,8.00
69.17,79.20,8.00
69.67,79.20,8.00
70.17,79.20,8.00
70.67,79.20,8.00
71.17,79.20,8.00
71.67,79.20,8.00
72.17,79.20,8.00
72.67,79.20,8.00
73.17,79.20,8.00
73.67,79.20,8.00
74.17,79.20,8.00
74.67,79.20,8.00
75.17,79.20,8.00
75.67,79.20,8.00
76.17,79.20,8.00
76.67,79.20,8.00
77.17,79.20,8.00
77.67,79.20,8.00
78.17,79.20,8.00
78.67,79.20,8.00
79.17,79.20,8.00
79.67,79.20,8.00
80.17,79.20,8.00
80.67,79.20,8.00
81.17,79.20,8.00
81.67,79.20,8.00
82.17,79.20,8.00
82.67,79.20,8.00
83.17,79.20,8.00
83.67,79.20,8.00
84.17,79.20,8.00
84.67,79.20,8.00
85.17,79.20,8.00
85.67,79.20,8.00
86.17,79.20,8.00
86.67,79.20,8.00
87.17,79.20,8.00
87.67,79.20,8.00
88.17,79.20,8.00
88.67,79.20,8.00
89.04,79.20,8.00
